Date, Open, High, Low, Close, Volume
2022-09-16, 34.10, 34.10, 33.85, 34.00, 800
2022-09-15, 33.80, 34.00, 33.80, 33.85, 1300
2022-09-14, 34.00, 34.00, 33.80, 33.95, 700
2022-09-12, 35.00, 35.50, 34.00, 34.40, 46800
2022-09-09, 35.00, 35.00, 34.25, 34.60, 1900
2022-09-08, 35.00, 35.00, 34.00, 34.25, 1074000
2022-09-07, 36.50, 36.50, 35.00, 35.45, 3600
2022-09-06, 34.20, 36.50, 34.00, 34.60, 1200
2022-09-05, 34.10, 35.00, 33.50, 34.50, 47500
2022-09-02, 34.50, 34.50, 34.00, 34.25, 5700
2022-09-01, 34.10, 34.50, 34.10, 34.25, 3300
2022-08-31, 35.00, 35.00, 34.55, 34.65, 1100
2022-08-30, 34.95, 34.95, 34.55, 34.75, 2800
2022-08-29, 35.00, 35.00, 34.45, 34.55, 7800
2022-08-26, 37.75, 37.75, 30.85, 35.15, 28900
2022-08-25, 39.50, 39.50, 38.20, 38.25, 7100
2022-08-24, 37.80, 38.50, 37.80, 38.35, 1800
2022-08-23, 38.20, 38.50, 38.00, 38.20, 14500
2022-08-22, 38.50, 38.50, 38.00, 38.15, 10000
2022-08-19, 38.00, 38.50, 37.80, 38.20, 5900
2022-08-18, 38.00, 38.50, 38.00, 38.00, 7900
2022-08-17, 37.00, 38.00, 37.00, 37.80, 5200
2022-08-16, 37.20, 38.00, 37.00, 37.15, 31500
2022-08-15, 37.30, 37.50, 37.10, 37.50, 39900
2022-08-12, 37.50, 37.50, 37.30, 37.40, 3100
2022-08-11, 37.50, 37.50, 37.45, 37.50, 5500
2022-08-10, 37.50, 37.50, 37.50, 37.50, 5000
2022-08-08, 37.50, 37.50, 37.50, 37.50, 33800
2022-08-05, 37.55, 37.55, 37.00, 37.30, 10700
2022-08-04, 36.50, 37.50, 36.00, 37.05, 7500
2022-08-03, 35.90, 36.00, 35.50, 35.95, 10800
2022-08-02, 35.00, 35.50, 35.00, 35.40, 1100
2022-08-01, 33.80, 35.00, 33.10, 33.40, 20200
2022-07-29, 33.35, 33.35, 33.00, 33.10, 51300
2022-07-28, 33.35, 33.35, 33.00, 33.30, 28100
2022-07-27, 35.50, 35.50, 33.00, 33.05, 94600
2022-07-26, 35.90, 35.90, 33.00, 33.80, 1000
2022-07-25, 34.60, 34.60, 33.35, 33.50, 3500
2022-07-22, 33.90, 33.90, 33.00, 33.35, 22400
