Date, Open, High, Low, Close, Volume
2022-09-16, 47.50, 47.80, 46.00, 47.20, 575800
2022-09-15, 50.00, 50.00, 47.05, 47.50, 980100
2022-09-14, 48.00, 50.00, 47.00, 47.55, 651700
2022-09-12, 50.00, 50.00, 47.50, 47.85, 3555100
2022-09-09, 49.00, 50.00, 48.30, 48.60, 1013700
2022-09-08, 49.00, 49.00, 48.60, 48.85, 462500
2022-09-07, 51.00, 52.00, 48.60, 49.35, 116800
2022-09-06, 52.75, 52.75, 49.50, 50.00, 178300
2022-09-05, 50.00, 52.50, 47.95, 48.10, 1466600
2022-09-02, 48.00, 50.00, 48.00, 48.15, 368100
2022-09-01, 49.00, 49.00, 47.90, 48.00, 4769400
2022-08-31, 48.50, 48.50, 47.90, 48.00, 936600
2022-08-30, 49.00, 49.00, 47.80, 48.00, 59900
2022-08-29, 50.00, 50.00, 47.90, 48.10, 622100
2022-08-26, 48.50, 50.00, 48.50, 49.20, 12200
2022-08-25, 51.00, 51.00, 48.00, 48.30, 26000
2022-08-24, 48.90, 50.00, 47.85, 48.00, 2097300
2022-08-23, 49.00, 50.00, 48.00, 48.35, 157700
2022-08-22, 48.50, 50.00, 48.00, 49.00, 180500
2022-08-19, 50.00, 50.00, 47.50, 48.00, 296300
2022-08-18, 51.00, 51.00, 48.75, 49.45, 129900
2022-08-17, 52.00, 52.75, 50.50, 51.25, 47000
2022-08-16, 51.00, 53.00, 50.50, 52.25, 1181500
2022-08-15, 50.00, 52.00, 49.50, 51.25, 72000
2022-08-12, 51.75, 51.75, 50.00, 50.50, 28400
2022-08-11, 52.00, 53.00, 50.00, 51.75, 1317800
2022-08-10, 52.50, 53.50, 52.00, 53.25, 2252400
2022-08-08, 49.00, 52.50, 49.00, 51.50, 99300
2022-08-05, 48.40, 49.50, 48.00, 48.25, 360100
2022-08-04, 47.50, 48.50, 47.50, 48.00, 2186800
2022-08-03, 47.75, 48.00, 47.40, 47.50, 3131600
2022-08-02, 47.70, 48.00, 47.50, 47.70, 835100
2022-08-01, 48.15, 48.15, 47.50, 47.70, 31500
2022-07-29, 48.00, 48.15, 47.60, 48.00, 8554400
2022-07-28, 47.20, 48.30, 46.90, 47.95, 2506700
2022-07-27, 46.00, 47.50, 45.20, 46.50, 2197200
2022-07-26, 45.90, 45.90, 45.30, 45.50, 179700
2022-07-25, 45.00, 45.85, 45.00, 45.20, 189200
2022-07-22, 45.00, 45.85, 44.50, 45.00, 305000
2022-07-21, 44.00, 44.55, 44.00, 44.50, 4685800
2022-07-20, 44.50, 44.90, 44.00, 44.50, 1965500
2022-07-19, 45.00, 45.00, 43.90, 44.00, 266700
2022-07-18, 44.50, 45.00, 44.00, 44.50, 4758100
2022-07-15, 45.00, 46.00, 44.00, 44.55, 723700
2022-07-14, 45.00, 45.00, 44.75, 44.90, 52500
2022-07-13, 46.00, 46.00, 44.00, 44.80, 140600
2022-07-12, 46.00, 47.00, 44.50, 45.45, 1094400
2022-07-08, 46.00, 46.50, 45.50, 46.00, 923500
2022-07-07, 45.00, 45.50, 44.00, 45.00, 2378200
2022-07-06, 45.00, 45.05, 44.00, 44.15, 2029300
2022-07-05, 43.75, 44.00, 43.00, 43.15, 2115600
2022-07-04, 43.70, 43.70, 43.00, 43.00, 3113400
2022-07-01, 43.00, 43.45, 42.00, 43.00, 3507900
2022-06-30, 42.45, 43.80, 40.50, 43.00, 1017500
2022-06-29, 39.10, 42.00, 39.10, 39.90, 4685200
2022-06-28, 39.00, 39.90, 39.00, 39.05, 1128900
2022-06-27, 39.30, 39.90, 38.90, 39.00, 1807300
2022-06-24, 39.10, 39.10, 39.00, 39.00, 5268200
2022-06-23, 39.00, 40.00, 39.00, 39.00, 1066800
2022-06-22, 39.00, 39.95, 38.75, 39.00, 282100
