Date, Open, High, Low, Close, Volume
2022-09-16, 40.35, 40.35, 38.95, 39.05, 1153400
2022-09-15, 40.70, 40.85, 40.00, 40.35, 1778000
2022-09-14, 41.75, 41.75, 40.05, 40.90, 983000
2022-09-12, 43.00, 43.00, 41.60, 41.80, 3567600
2022-09-09, 42.55, 43.00, 42.25, 42.45, 278900
2022-09-08, 42.70, 43.75, 42.25, 42.75, 84900
2022-09-07, 42.75, 42.75, 41.80, 42.25, 130100
2022-09-06, 42.55, 43.50, 41.70, 42.70, 456900
2022-09-05, 40.90, 42.50, 40.80, 40.85, 2490200
2022-09-02, 40.90, 41.00, 40.70, 40.85, 395200
2022-09-01, 41.00, 41.30, 40.75, 41.00, 165700
2022-08-31, 41.00, 41.00, 40.50, 40.85, 216100
2022-08-30, 41.80, 41.80, 41.00, 41.00, 1774600
2022-08-29, 41.00, 41.80, 41.00, 41.30, 122300
2022-08-26, 43.00, 43.00, 40.60, 40.95, 85300
2022-08-25, 42.95, 42.95, 41.00, 41.80, 89100
2022-08-24, 43.30, 43.30, 42.50, 42.95, 96300
2022-08-23, 43.50, 43.80, 43.00, 43.35, 350200
2022-08-22, 43.35, 43.50, 43.30, 43.50, 194100
2022-08-19, 43.50, 43.50, 43.05, 43.25, 80500
2022-08-18, 43.50, 43.50, 43.05, 43.35, 258100
2022-08-17, 42.95, 43.40, 42.95, 43.20, 123200
2022-08-16, 43.00, 43.50, 42.85, 42.95, 282700
2022-08-15, 43.00, 43.05, 42.60, 43.00, 191800
2022-08-12, 43.00, 43.50, 42.60, 43.05, 119500
2022-08-11, 43.00, 44.00, 42.50, 42.80, 732800
2022-08-10, 43.25, 44.00, 42.00, 42.35, 2029100
2022-08-08, 42.00, 44.00, 41.75, 42.20, 129300
2022-08-05, 41.00, 42.50, 40.90, 41.75, 123400
2022-08-04, 40.80, 41.30, 40.50, 40.60, 1819200
2022-08-03, 41.00, 41.30, 40.50, 40.75, 248100
2022-08-02, 40.65, 40.65, 39.70, 40.05, 253100
2022-08-01, 41.00, 41.00, 40.00, 40.75, 1318000
2022-07-29, 41.90, 41.90, 40.30, 41.15, 195600
2022-07-28, 39.95, 41.00, 39.65, 40.00, 1368700
2022-07-27, 39.80, 40.00, 39.00, 39.05, 2082400
2022-07-26, 39.00, 40.00, 38.50, 39.65, 14700
2022-07-25, 38.85, 40.00, 38.50, 38.85, 165700
2022-07-22, 39.00, 39.00, 38.50, 38.50, 5466200
2022-07-21, 39.00, 39.00, 38.75, 38.85, 1245900
2022-07-20, 38.95, 39.00, 38.70, 39.00, 911000
2022-07-19, 39.25, 39.75, 38.50, 38.75, 394500
2022-07-18, 40.50, 40.50, 39.25, 39.95, 464900
2022-07-15, 40.50, 40.90, 39.50, 40.45, 4046600
2022-07-14, 41.00, 41.00, 40.00, 40.50, 4530900
2022-07-13, 41.15, 41.80, 40.55, 40.90, 110900
2022-07-12, 42.80, 42.80, 41.10, 41.90, 97900
2022-07-08, 42.75, 42.75, 42.00, 42.40, 109500
2022-07-07, 42.00, 43.00, 42.00, 42.75, 6791300
2022-07-06, 41.80, 42.45, 40.05, 41.95, 225200
2022-07-05, 40.30, 41.80, 40.00, 40.60, 789000
2022-07-04, 39.00, 41.25, 39.00, 40.00, 1782800
2022-07-01, 39.00, 40.00, 39.00, 39.00, 1084300
2022-06-30, 38.80, 39.70, 37.50, 38.65, 67700
2022-06-29, 37.00, 38.40, 37.00, 37.55, 60000
2022-06-28, 36.60, 37.00, 36.60, 36.80, 49200
2022-06-27, 36.95, 37.10, 36.55, 36.75, 37500
2022-06-24, 36.70, 36.95, 36.30, 36.70, 1601000
2022-06-23, 36.70, 36.70, 36.50, 36.50, 442500
2022-06-22, 37.00, 37.00, 36.50, 36.90, 765600
2022-06-21, 37.50, 37.50, 36.50, 36.95, 344100
2022-06-20, 37.90, 37.90, 36.20, 36.80, 54900
2022-06-17, 37.75, 39.00, 37.50, 37.90, 582100
2022-06-16, 38.50, 38.90, 38.00, 38.05, 1463700
2022-06-15, 38.85, 38.95, 38.50, 38.65, 292300
2022-06-14, 38.85, 39.00, 38.70, 38.80, 481000
2022-06-13, 39.00, 39.50, 38.80, 39.00, 698400
2022-06-10, 39.50, 39.50, 38.90, 39.00, 623500
2022-06-09, 39.00, 39.30, 38.80, 38.95, 70800
2022-06-08, 38.70, 39.00, 38.65, 38.80, 127300
2022-06-07, 38.80, 39.00, 38.65, 38.65, 1174900
2022-06-06, 38.75, 39.00, 38.50, 38.70, 99800
2022-06-03, 38.15, 38.75, 38.10, 38.70, 220300
2022-06-02, 38.00, 39.00, 37.85, 38.00, 246100
2022-05-31, 38.20, 39.00, 38.00, 38.10, 4032500
2022-05-30, 38.30, 38.30, 37.70, 38.05, 64500
2022-05-27, 37.60, 38.50, 37.60, 38.00, 570600
2022-05-26, 36.50, 38.50, 36.50, 37.10, 627000
2022-05-25, 37.00, 37.00, 36.30, 36.55, 156100
2022-05-24, 35.55, 36.50, 35.50, 35.95, 1436700
2022-05-23, 35.50, 36.00, 35.00, 35.55, 2786100
2022-05-20, 35.30, 35.50, 35.00, 35.30, 1398900
2022-05-19, 35.40, 35.40, 35.00, 35.00, 889700
2022-05-18, 35.55, 35.55, 34.50, 35.00, 1520700
2022-05-17, 35.60, 35.85, 35.40, 35.55, 42100
2022-05-16, 35.70, 35.75, 35.20, 35.40, 1315400
2022-05-13, 35.80, 35.90, 35.60, 35.75, 2725800
2022-05-12, 36.00, 36.00, 35.60, 35.85, 389800
2022-05-11, 36.50, 36.50, 35.10, 35.70, 708800
2022-05-10, 36.00, 36.25, 35.60, 35.85, 384000
2022-05-09, 37.00, 37.00, 36.00, 36.50, 1060600
2022-05-06, 37.00, 37.00, 35.60, 36.25, 169000
2022-05-05, 37.30, 37.30, 34.00, 36.95, 143900
2022-05-04, 37.00, 38.00, 37.00, 37.30, 354300
2022-04-28, 38.90, 38.90, 37.00, 37.45, 224200
2022-04-27, 39.00, 40.00, 37.80, 38.90, 127000
2022-04-26, 42.00, 42.00, 38.25, 39.65, 604700
2022-04-25, 43.30, 43.30, 42.15, 42.50, 194700
2022-04-22, 43.20, 43.40, 42.60, 43.00, 121700
2022-04-21, 43.30, 43.40, 42.90, 43.15, 112400
2022-04-20, 43.00, 43.30, 42.50, 42.90, 112600
2022-04-19, 43.50, 43.50, 43.00, 43.20, 134900
2022-04-14, 43.25, 43.50, 43.20, 43.45, 213000
2022-04-13, 43.50, 43.50, 43.05, 43.20, 46000
2022-04-12, 43.00, 43.50, 43.00, 43.25, 1638800
2022-04-11, 43.60, 44.00, 43.00, 43.40, 496200
2022-04-08, 43.30, 43.60, 43.00, 43.00, 284500
2022-04-07, 43.30, 43.40, 43.00, 43.05, 281400
2022-04-06, 43.50, 44.00, 43.25, 43.30, 334200
2022-04-05, 43.90, 43.95, 43.25, 43.55, 1112200
2022-04-04, 44.05, 44.20, 43.00, 43.50, 250900
2022-04-01, 44.05, 44.20, 43.95, 44.00, 117100
2022-03-31, 44.10, 44.25, 43.50, 44.05, 7249500
2022-03-30, 44.20, 44.30, 44.00, 44.10, 255700
2022-03-29, 44.15, 44.45, 43.95, 44.05, 313000
2022-03-28, 44.25, 45.00, 44.00, 44.45, 673200
2022-03-25, 44.30, 44.35, 43.00, 44.00, 2396100
2022-03-24, 44.10, 44.35, 43.75, 44.15, 923100
2022-03-23, 44.00, 44.45, 44.00, 44.20, 945200
2022-03-22, 45.00, 45.00, 43.90, 44.00, 9146800
2022-03-21, 45.00, 45.00, 44.00, 44.35, 167000
2022-03-18, 45.20, 45.20, 44.00, 44.60, 1509700
2022-03-17, 45.00, 45.00, 44.25, 44.60, 559900
2022-03-16, 45.45, 46.00, 45.00, 45.05, 3638500
2022-03-15, 45.70, 45.70, 45.00, 45.00, 1954000
2022-03-14, 44.95, 45.50, 44.90, 45.05, 388500
2022-03-11, 45.00, 45.50, 44.50, 44.70, 151100
2022-03-10, 44.50, 45.50, 44.30, 44.70, 3306000
2022-03-09, 44.50, 44.90, 44.10, 44.40, 313300
2022-03-08, 43.90, 45.00, 43.90, 44.10, 1813400
2022-03-07, 45.40, 45.90, 43.85, 44.90, 465800
2022-03-04, 45.00, 45.95, 45.00, 45.35, 1160500
2022-03-03, 44.70, 45.50, 44.50, 45.05, 2205300
2022-03-02, 44.00, 45.00, 43.60, 44.45, 249000
2022-03-01, 45.00, 45.00, 43.60, 44.30, 1001900
2022-02-28, 44.55, 45.90, 44.55, 45.00, 1361600
2022-02-25, 44.90, 45.00, 44.50, 44.95, 1421700
2022-02-24, 46.00, 46.00, 44.90, 45.00, 1151100
2022-02-23, 46.00, 46.00, 45.55, 46.00, 1075400
2022-02-22, 46.00, 46.00, 45.55, 45.95, 757800
2022-02-21, 46.00, 46.45, 45.95, 46.00, 214200
2022-02-18, 45.95, 46.40, 45.95, 46.00, 341100
2022-02-17, 46.00, 46.45, 45.85, 45.90, 683500
2022-02-16, 45.90, 46.50, 45.55, 45.80, 2054700
2022-02-15, 46.00, 46.00, 45.60, 45.95, 214900
2022-02-14, 45.60, 45.80, 45.60, 45.65, 90500
2022-02-11, 46.00, 46.00, 45.00, 45.30, 124300
2022-02-10, 46.20, 46.25, 45.60, 46.00, 1323400
2022-02-09, 46.30, 46.50, 45.50, 46.00, 1346600
2022-02-08, 47.00, 47.00, 46.25, 46.45, 203900
2022-02-07, 47.00, 47.00, 46.60, 46.75, 38300
2022-02-04, 47.00, 47.35, 46.60, 47.00, 351500
2022-02-03, 46.05, 47.50, 46.00, 47.00, 3276400
2022-02-02, 45.00, 46.50, 45.00, 46.25, 1977200
2022-02-01, 45.00, 45.50, 44.80, 45.00, 8156400
2022-01-31, 45.05, 45.50, 44.80, 45.00, 5582800
2022-01-28, 45.00, 45.50, 44.55, 44.80, 2655800
2022-01-27, 45.00, 45.00, 44.50, 44.85, 5567600
2022-01-26, 45.00, 45.25, 44.80, 45.00, 1463400
2022-01-25, 44.80, 45.00, 44.40, 44.55, 934700
2022-01-24, 45.00, 45.00, 44.80, 44.95, 50000
2022-01-21, 45.10, 45.10, 44.60, 44.90, 70500
2022-01-20, 44.90, 45.10, 44.85, 45.00, 2446900
2022-01-19, 44.55, 45.00, 44.55, 44.90, 299100
2022-01-18, 45.10, 45.15, 44.50, 44.55, 3368500
2022-01-17, 45.15, 45.50, 45.00, 45.10, 214400
2022-01-14, 45.50, 45.50, 45.00, 45.15, 80800
2022-01-13, 45.80, 46.00, 44.70, 45.25, 91900
