Date, Open, High, Low, Close, Volume
2022-09-16, 3.75, 3.75, 3.65, 3.70, 321900
2022-09-15, 3.70, 3.70, 3.65, 3.70, 1170200
2022-09-14, 3.72, 3.75, 3.68, 3.70, 235000
2022-09-12, 3.72, 3.88, 3.69, 3.70, 404200
2022-09-09, 3.70, 3.72, 3.67, 3.69, 247900
2022-09-08, 3.70, 3.74, 3.69, 3.70, 258000
2022-09-07, 3.75, 3.75, 3.70, 3.70, 154100
2022-09-06, 3.75, 3.75, 3.60, 3.75, 885000
2022-09-05, 3.75, 3.75, 3.55, 3.75, 159600
2022-09-02, 3.74, 3.75, 3.55, 3.74, 424700
2022-09-01, 3.70, 3.74, 3.55, 3.55, 792900
2022-08-31, 3.74, 3.74, 3.67, 3.72, 211500
2022-08-30, 3.75, 3.75, 3.70, 3.74, 397900
2022-08-29, 3.70, 3.80, 3.65, 3.75, 621900
2022-08-26, 3.68, 3.77, 3.65, 3.70, 44000
2022-08-25, 3.65, 3.77, 3.63, 3.68, 326900
2022-08-24, 3.74, 3.77, 3.62, 3.70, 1145600
2022-08-23, 3.78, 3.78, 3.60, 3.74, 45300
2022-08-22, 3.78, 3.78, 3.55, 3.76, 67800
2022-08-19, 3.75, 3.83, 3.72, 3.78, 101900
2022-08-18, 3.77, 3.78, 3.70, 3.78, 272500
2022-08-17, 3.79, 3.79, 3.72, 3.78, 576400
2022-08-16, 3.75, 3.80, 3.72, 3.79, 106800
2022-08-15, 3.79, 3.81, 3.71, 3.75, 81900
2022-08-12, 3.81, 3.81, 3.71, 3.79, 812900
2022-08-11, 3.83, 3.85, 3.79, 3.80, 1213400
2022-08-10, 3.60, 3.80, 3.60, 3.80, 360800
2022-08-08, 3.50, 3.83, 3.45, 3.80, 786800
2022-08-05, 3.50, 3.50, 3.49, 3.50, 2018800
2022-08-04, 3.50, 3.50, 3.49, 3.50, 541700
2022-08-03, 3.50, 3.50, 3.49, 3.50, 898100
2022-08-02, 3.49, 3.50, 3.46, 3.50, 565400
2022-08-01, 3.50, 3.50, 3.46, 3.48, 979100
2022-07-29, 3.50, 3.50, 3.47, 3.49, 400000
2022-07-28, 3.50, 3.50, 3.48, 3.50, 513600
2022-07-27, 3.50, 3.50, 3.48, 3.49, 960900
2022-07-26, 3.50, 3.50, 3.46, 3.48, 20700
2022-07-25, 3.50, 3.50, 3.45, 3.50, 350700
2022-07-22, 3.50, 3.50, 3.49, 3.50, 76800
2022-07-21, 3.49, 3.50, 3.49, 3.49, 46800
2022-07-20, 3.49, 3.50, 3.45, 3.50, 546400
2022-07-19, 3.50, 3.50, 3.50, 3.50, 19300
2022-07-18, 3.49, 3.50, 3.49, 3.50, 122100
2022-07-15, 3.50, 3.50, 3.48, 3.49, 667200
2022-07-14, 3.50, 3.50, 3.48, 3.49, 141900
2022-07-13, 3.50, 3.50, 3.45, 3.50, 344500
2022-07-12, 3.80, 3.80, 3.46, 3.50, 227500
2022-07-08, 3.52, 3.52, 3.47, 3.50, 418300
2022-07-07, 3.55, 3.55, 3.45, 3.50, 281000
2022-07-06, 3.70, 3.70, 3.45, 3.55, 179500
2022-07-05, 3.45, 3.70, 3.45, 3.45, 68500
2022-07-04, 3.39, 3.69, 3.39, 3.40, 27200
2022-07-01, 3.38, 3.70, 3.37, 3.38, 233600
2022-06-30, 3.40, 3.40, 3.37, 3.38, 1268900
2022-06-29, 3.40, 3.44, 3.37, 3.40, 283200
2022-06-28, 3.38, 3.40, 3.36, 3.36, 274900
2022-06-27, 3.40, 3.40, 3.37, 3.38, 72200
2022-06-24, 3.40, 3.43, 3.37, 3.40, 237700
2022-06-23, 3.43, 3.43, 3.37, 3.40, 474400
2022-06-22, 3.40, 3.44, 3.37, 3.44, 133200
2022-06-21, 3.44, 3.44, 3.38, 3.40, 177700
2022-06-20, 3.49, 3.50, 3.40, 3.40, 275400
2022-06-17, 3.48, 3.49, 3.43, 3.43, 106500
2022-06-16, 3.41, 3.48, 3.41, 3.48, 62300
2022-06-15, 3.41, 3.45, 3.40, 3.42, 80000
2022-06-14, 3.40, 3.48, 3.40, 3.45, 66300
2022-06-13, 3.39, 3.49, 3.38, 3.40, 106900
2022-06-10, 3.42, 3.46, 3.38, 3.39, 131400
2022-06-09, 3.45, 3.45, 3.35, 3.40, 191400
2022-06-08, 3.48, 3.49, 3.35, 3.40, 164500
2022-06-07, 3.50, 3.50, 3.48, 3.48, 93900
2022-06-06, 3.50, 3.52, 3.49, 3.50, 141700
2022-06-03, 3.50, 3.50, 3.48, 3.50, 639100
2022-06-02, 3.59, 3.59, 3.48, 3.50, 253300
2022-05-31, 3.50, 3.50, 3.46, 3.46, 265300
2022-05-30, 3.50, 3.50, 3.46, 3.49, 74900
2022-05-27, 3.50, 3.51, 3.46, 3.46, 1438900
2022-05-26, 3.41, 3.52, 3.41, 3.48, 62600
2022-05-25, 3.51, 3.52, 3.40, 3.41, 90300
2022-05-24, 3.49, 3.51, 3.45, 3.50, 126500
