Date, Open, High, Low, Close, Volume
2022-09-16, 2.10, 2.10, 1.93, 1.97, 4482400
2022-09-15, 2.09, 2.11, 1.99, 2.08, 9070200
2022-09-14, 1.90, 1.93, 1.76, 1.92, 3901000
2022-09-12, 1.65, 1.76, 1.65, 1.76, 9370100
2022-09-09, 1.64, 1.64, 1.58, 1.60, 2024500
2022-09-08, 1.61, 1.64, 1.60, 1.61, 237400
2022-09-07, 1.60, 1.65, 1.60, 1.61, 171100
2022-09-06, 1.60, 1.67, 1.50, 1.60, 1824000
2022-09-05, 1.50, 1.60, 1.44, 1.52, 634900
2022-09-02, 1.49, 1.51, 1.46, 1.49, 528800
2022-09-01, 1.46, 1.49, 1.42, 1.46, 719600
2022-08-31, 1.46, 1.47, 1.45, 1.46, 311600
2022-08-30, 1.46, 1.48, 1.40, 1.45, 379400
2022-08-29, 1.47, 1.48, 1.47, 1.48, 69800
2022-08-26, 1.48, 1.48, 1.42, 1.47, 51100
2022-08-25, 1.41, 1.48, 1.41, 1.45, 79800
2022-08-24, 1.48, 1.48, 1.40, 1.42, 169200
2022-08-23, 1.45, 1.48, 1.42, 1.45, 556800
2022-08-22, 1.46, 1.48, 1.41, 1.45, 838200
2022-08-19, 1.45, 1.49, 1.40, 1.45, 99300
2022-08-18, 1.50, 1.50, 1.40, 1.45, 285800
2022-08-17, 1.45, 1.45, 1.40, 1.44, 793100
2022-08-16, 1.48, 1.50, 1.39, 1.44, 984600
2022-08-15, 1.50, 1.54, 1.50, 1.50, 499500
2022-08-12, 1.50, 1.50, 1.47, 1.50, 261700
2022-08-11, 1.48, 1.50, 1.45, 1.49, 168000
2022-08-10, 1.45, 1.50, 1.45, 1.49, 56400
2022-08-08, 1.40, 1.45, 1.39, 1.40, 2679400
2022-08-05, 1.44, 1.44, 1.40, 1.40, 4722200
2022-08-04, 1.44, 1.45, 1.41, 1.44, 361900
2022-08-03, 1.46, 1.49, 1.41, 1.45, 1784900
2022-08-02, 1.44, 1.45, 1.40, 1.44, 233700
2022-08-01, 1.43, 1.45, 1.35, 1.36, 5128500
2022-07-29, 1.40, 1.43, 1.37, 1.40, 1012400
2022-07-28, 1.45, 1.45, 1.37, 1.40, 1048700
2022-07-27, 1.40, 1.45, 1.39, 1.43, 224200
2022-07-26, 1.40, 1.41, 1.40, 1.40, 51600
2022-07-25, 1.40, 1.42, 1.39, 1.41, 168500
2022-07-22, 1.39, 1.42, 1.39, 1.40, 3091000
2022-07-21, 1.40, 1.40, 1.39, 1.40, 1092500
2022-07-20, 1.42, 1.42, 1.39, 1.40, 680500
2022-07-19, 1.42, 1.42, 1.40, 1.42, 330900
2022-07-18, 1.41, 1.44, 1.41, 1.42, 109300
2022-07-15, 1.43, 1.44, 1.40, 1.41, 3630300
2022-07-14, 1.43, 1.47, 1.40, 1.43, 3144100
2022-07-13, 1.45, 1.45, 1.41, 1.43, 612100
2022-07-12, 1.45, 1.45, 1.41, 1.43, 282200
2022-07-08, 1.45, 1.47, 1.44, 1.45, 398800
2022-07-07, 1.43, 1.50, 1.42, 1.47, 62100
2022-07-06, 1.45, 1.45, 1.35, 1.42, 356700
2022-07-05, 1.47, 1.47, 1.40, 1.43, 1231500
2022-07-04, 1.45, 1.50, 1.41, 1.47, 201900
2022-07-01, 1.45, 1.49, 1.41, 1.47, 129300
2022-06-30, 1.45, 1.45, 1.40, 1.43, 184700
2022-06-29, 1.40, 1.49, 1.40, 1.40, 467100
2022-06-28, 1.45, 1.45, 1.40, 1.43, 251500
2022-06-27, 1.44, 1.45, 1.40, 1.40, 2054000
2022-06-24, 1.41, 1.44, 1.39, 1.42, 197000
2022-06-23, 1.40, 1.41, 1.39, 1.41, 124200
2022-06-22, 1.40, 1.41, 1.39, 1.40, 72500
2022-06-21, 1.41, 1.41, 1.38, 1.40, 3319300
2022-06-20, 1.45, 1.45, 1.39, 1.41, 670800
2022-06-17, 1.48, 1.50, 1.40, 1.46, 80200
2022-06-16, 1.45, 1.49, 1.45, 1.45, 5072200
2022-06-15, 1.49, 1.49, 1.42, 1.45, 151300
2022-06-14, 1.51, 1.51, 1.43, 1.45, 4287100
2022-06-13, 1.48, 1.50, 1.43, 1.47, 549600
2022-06-10, 1.50, 1.52, 1.40, 1.48, 78200
2022-06-09, 1.50, 1.51, 1.45, 1.50, 343300
2022-06-08, 1.50, 1.52, 1.49, 1.50, 103500
2022-06-07, 1.50, 1.52, 1.50, 1.51, 352600
2022-06-06, 1.50, 1.52, 1.49, 1.50, 555000
2022-06-03, 1.50, 1.55, 1.49, 1.50, 1177000
2022-06-02, 1.50, 1.50, 1.48, 1.50, 555800
2022-05-31, 1.50, 1.50, 1.49, 1.50, 295500
2022-05-30, 1.50, 1.50, 1.47, 1.50, 346100
2022-05-27, 1.50, 1.50, 1.46, 1.48, 986000
2022-05-26, 1.47, 1.50, 1.42, 1.47, 224000
2022-05-25, 1.48, 1.48, 1.46, 1.47, 157600
2022-05-24, 1.50, 1.50, 1.41, 1.47, 239600
2022-05-23, 1.49, 1.50, 1.42, 1.48, 305900
2022-05-20, 1.45, 1.49, 1.41, 1.44, 92100
2022-05-19, 1.44, 1.50, 1.40, 1.48, 234300
2022-05-18, 1.48, 1.48, 1.39, 1.40, 395600
2022-05-17, 1.41, 1.49, 1.40, 1.41, 532800
2022-05-16, 1.45, 1.49, 1.40, 1.43, 246500
2022-05-13, 1.49, 1.49, 1.41, 1.46, 286800
2022-05-12, 1.41, 1.50, 1.40, 1.41, 2585000
2022-05-11, 1.45, 1.50, 1.41, 1.48, 327300
2022-05-10, 1.45, 1.50, 1.41, 1.47, 419500
2022-05-09, 1.40, 1.49, 1.40, 1.44, 148600
2022-05-06, 1.49, 1.50, 1.40, 1.46, 301400
2022-05-05, 1.51, 1.51, 1.45, 1.49, 707000
2022-05-04, 1.49, 1.50, 1.45, 1.49, 226900
2022-04-28, 1.44, 1.50, 1.44, 1.49, 101900
2022-04-27, 1.44, 1.50, 1.40, 1.40, 743000
2022-04-26, 1.40, 1.45, 1.39, 1.40, 266300
2022-04-25, 1.40, 1.40, 1.38, 1.39, 575400
2022-04-22, 1.39, 1.40, 1.39, 1.40, 87500
2022-04-21, 1.40, 1.40, 1.37, 1.39, 273600
2022-04-20, 1.48, 1.48, 1.35, 1.40, 2159900
2022-04-19, 1.60, 1.60, 1.38, 1.46, 265500
2022-04-14, 1.60, 1.60, 1.50, 1.50, 642600
2022-04-13, 1.55, 1.58, 1.52, 1.56, 38800
2022-04-12, 1.50, 1.55, 1.48, 1.50, 597800
2022-04-11, 1.45, 1.50, 1.45, 1.49, 711800
2022-04-08, 1.55, 1.55, 1.48, 1.50, 402200
2022-04-07, 1.54, 1.59, 1.50, 1.51, 1072500
2022-04-06, 1.50, 1.55, 1.49, 1.52, 767800
2022-04-05, 1.50, 1.52, 1.49, 1.50, 822800
2022-04-04, 1.40, 1.50, 1.40, 1.45, 862400
2022-04-01, 1.40, 1.43, 1.31, 1.38, 1239200
2022-03-31, 1.44, 1.44, 1.30, 1.31, 1342500
2022-03-30, 1.45, 1.45, 1.30, 1.35, 730200
2022-03-29, 1.53, 1.53, 1.31, 1.37, 1087100
2022-03-28, 1.54, 1.54, 1.38, 1.45, 608800
2022-03-25, 1.55, 1.55, 1.50, 1.53, 359800
2022-03-24, 1.55, 1.55, 1.49, 1.50, 380100
2022-03-23, 1.53, 1.58, 1.50, 1.51, 496200
2022-03-22, 1.60, 1.60, 1.50, 1.53, 879700
2022-03-21, 1.54, 1.56, 1.52, 1.54, 154300
2022-03-18, 1.55, 1.55, 1.53, 1.54, 207400
2022-03-17, 1.56, 1.56, 1.50, 1.55, 122700
2022-03-16, 1.55, 1.55, 1.50, 1.55, 60900
2022-03-15, 1.51, 1.56, 1.50, 1.54, 126800
2022-03-14, 1.56, 1.56, 1.50, 1.54, 528200
2022-03-11, 1.59, 1.59, 1.56, 1.57, 1014000
2022-03-10, 1.60, 1.60, 1.55, 1.56, 325400
2022-03-09, 1.62, 1.62, 1.56, 1.61, 714500
2022-03-08, 1.63, 1.63, 1.58, 1.61, 525400
2022-03-07, 1.64, 1.67, 1.60, 1.62, 1842900
2022-03-04, 1.67, 1.67, 1.60, 1.64, 2450600
2022-03-03, 1.70, 1.70, 1.66, 1.68, 720000
2022-03-02, 1.65, 1.69, 1.63, 1.68, 1317400
2022-03-01, 1.70, 1.70, 1.63, 1.68, 446000
2022-02-28, 1.80, 1.80, 1.65, 1.70, 4564000
2022-02-25, 1.58, 1.58, 1.55, 1.56, 103300
2022-02-24, 1.58, 1.58, 1.57, 1.58, 51700
2022-02-23, 1.57, 1.58, 1.55, 1.57, 37000
2022-02-22, 1.59, 1.59, 1.55, 1.56, 189700
2022-02-21, 1.58, 1.60, 1.55, 1.58, 672800
2022-02-18, 1.58, 1.60, 1.51, 1.59, 367400
2022-02-17, 1.57, 1.60, 1.55, 1.56, 344200
2022-02-16, 1.59, 1.60, 1.55, 1.58, 533600
2022-02-15, 1.58, 1.59, 1.58, 1.58, 132000
2022-02-14, 1.60, 1.60, 1.57, 1.58, 118000
2022-02-11, 1.60, 1.60, 1.58, 1.59, 158600
2022-02-10, 1.60, 1.62, 1.59, 1.60, 141600
2022-02-09, 1.63, 1.63, 1.59, 1.60, 116600
2022-02-08, 1.61, 1.63, 1.59, 1.60, 84400
2022-02-07, 1.64, 1.64, 1.59, 1.60, 182200
2022-02-04, 1.60, 1.69, 1.57, 1.60, 1467500
2022-02-03, 1.57, 1.60, 1.54, 1.57, 1132400
2022-02-02, 1.56, 1.57, 1.52, 1.55, 340200
2022-02-01, 1.58, 1.58, 1.55, 1.56, 249600
2022-01-31, 1.58, 1.58, 1.56, 1.56, 275700
2022-01-28, 1.58, 1.58, 1.55, 1.56, 209200
2022-01-27, 1.60, 1.60, 1.55, 1.56, 267100
2022-01-26, 1.60, 1.60, 1.53, 1.57, 117200
2022-01-25, 1.60, 1.60, 1.50, 1.57, 399800
2022-01-24, 1.60, 1.60, 1.57, 1.59, 191300
2022-01-21, 1.61, 1.70, 1.60, 1.61, 291400
2022-01-20, 1.67, 1.67, 1.60, 1.64, 540600
2022-01-19, 1.69, 1.69, 1.62, 1.63, 123600
2022-01-18, 1.71, 1.71, 1.56, 1.62, 1123600
2022-01-17, 1.68, 1.71, 1.55, 1.67, 185500
2022-01-14, 1.69, 1.70, 1.68, 1.69, 471200
2022-01-13, 1.65, 1.70, 1.65, 1.67, 701900
2022-01-12, 1.72, 1.72, 1.65, 1.69, 351800
2022-01-11, 1.73, 1.73, 1.69, 1.71, 214900
2022-01-10, 1.72, 1.73, 1.70, 1.71, 202000
2022-01-07, 1.74, 1.75, 1.70, 1.72, 637700
2022-01-06, 1.75, 1.75, 1.70, 1.72, 276500
2022-01-05, 1.75, 1.79, 1.70, 1.71, 428700
2022-01-04, 1.74, 1.75, 1.72, 1.74, 256400
2022-01-03, 1.80, 1.80, 1.69, 1.74, 1400200
2021-12-31, 1.74, 1.75, 1.73, 1.75, 37400
2021-12-30, 1.74, 1.75, 1.73, 1.74, 151200
2021-12-29, 1.77, 1.77, 1.71, 1.74, 306500
2021-12-28, 1.75, 1.78, 1.70, 1.73, 568400
2021-12-24, 1.75, 1.75, 1.74, 1.74, 1165400
2021-12-23, 1.74, 1.80, 1.72, 1.75, 1303800
