Date, Open, High, Low, Close, Volume
2022-09-16, 22.10, 22.10, 22.10, 22.10, 2500
2022-09-15, 22.10, 22.10, 22.10, 22.10, 1000
2022-09-14, 23.95, 23.95, 22.10, 23.60, 500
2022-09-12, 22.10, 22.10, 22.10, 22.10, 700
2022-09-09, 23.00, 23.50, 23.00, 23.20, 2800
2022-09-08, 23.00, 23.00, 23.00, 23.00, 100
2022-09-07, 22.50, 23.00, 22.00, 22.50, 3500
2022-09-06, 23.50, 23.50, 22.00, 22.50, 1100
2022-09-05, 23.50, 23.50, 23.00, 23.15, 300
2022-09-02, 22.05, 23.00, 22.05, 22.15, 1000
2022-09-01, 22.00, 22.60, 22.00, 22.10, 500
2022-08-30, 23.00, 23.50, 23.00, 23.15, 700
2022-08-29, 23.50, 23.50, 23.00, 23.25, 200
2022-08-26, 22.50, 22.50, 21.15, 21.70, 1100
2022-08-25, 23.50, 23.50, 23.50, 23.50, 200
2022-08-24, 24.00, 24.00, 24.00, 24.00, 200
2022-08-23, 24.00, 24.00, 22.50, 23.50, 300
2022-08-22, 22.60, 24.00, 20.05, 22.70, 800
2022-08-19, 22.60, 22.60, 20.40, 22.25, 6300
2022-08-17, 22.60, 22.60, 22.60, 22.60, 100
2022-08-16, 22.00, 22.45, 22.00, 22.20, 700
2022-08-15, 20.80, 21.00, 20.80, 20.95, 600
2022-08-11, 20.55, 21.05, 20.55, 20.80, 600
2022-08-08, 20.00, 21.05, 20.00, 20.55, 200
2022-08-05, 21.00, 21.00, 21.00, 21.00, 500
2022-08-04, 21.00, 21.00, 21.00, 21.00, 500
2022-08-03, 21.00, 21.00, 19.00, 19.50, 1000
2022-08-02, 21.00, 21.00, 21.00, 21.00, 100
2022-08-01, 21.00, 21.00, 21.00, 21.00, 300
2022-07-29, 19.85, 21.00, 19.80, 20.40, 400
2022-07-28, 19.85, 19.85, 19.85, 19.85, 100
2022-07-27, 21.90, 21.90, 19.80, 20.50, 300
2022-07-22, 22.20, 22.20, 21.85, 21.90, 1300
2022-07-21, 21.85, 22.60, 21.85, 22.25, 200
2022-07-20, 21.85, 21.85, 21.85, 21.85, 100
2022-07-19, 22.20, 22.60, 22.20, 22.50, 800
2022-07-18, 22.20, 22.20, 22.00, 22.15, 400
2022-07-15, 22.00, 22.20, 22.00, 22.00, 6700
2022-07-14, 22.00, 22.00, 22.00, 22.00, 4000
2022-07-13, 22.00, 22.00, 22.00, 22.00, 100
2022-07-12, 20.80, 20.80, 20.80, 20.80, 4600
2022-07-08, 20.80, 20.80, 20.80, 20.80, 1900
2022-07-07, 19.00, 19.40, 19.00, 19.25, 2500
2022-07-06, 19.00, 19.00, 19.00, 19.00, 200
2022-07-04, 19.00, 19.00, 19.00, 19.00, 200
2022-06-30, 19.00, 19.00, 19.00, 19.00, 600
2022-06-24, 19.40, 19.40, 19.40, 19.40, 400
2022-06-23, 21.50, 22.00, 19.40, 20.80, 4500
2022-06-22, 21.50, 21.50, 21.50, 21.50, 1800
2022-06-21, 21.50, 21.50, 21.05, 21.40, 400
2022-06-20, 20.50, 21.05, 20.50, 21.00, 1000
2022-06-17, 20.50, 20.50, 20.50, 20.50, 600
2022-06-16, 20.50, 20.50, 20.50, 20.50, 200
2022-06-15, 20.50, 21.05, 20.50, 20.80, 1500
2022-06-14, 20.50, 20.50, 20.50, 20.50, 400
2022-06-13, 20.50, 20.50, 20.50, 20.50, 100
2022-06-10, 21.00, 21.05, 21.00, 21.05, 200
2022-06-07, 20.50, 20.50, 20.50, 20.50, 900
2022-06-06, 20.50, 20.50, 20.00, 20.05, 3000
2022-06-02, 20.50, 20.50, 20.50, 20.50, 400
2022-05-31, 20.50, 20.50, 20.05, 20.15, 600
2022-05-30, 20.50, 20.50, 20.50, 20.50, 100
2022-05-27, 20.50, 20.50, 20.50, 20.50, 4500
2022-05-26, 20.50, 20.50, 20.50, 20.50, 1900
2022-05-25, 20.50, 20.50, 20.50, 20.50, 1500
2022-05-24, 20.80, 20.80, 20.80, 20.80, 600
2022-05-23, 21.00, 21.00, 20.80, 20.90, 200
2022-05-20, 21.00, 21.00, 21.00, 21.00, 100
2022-05-19, 21.00, 21.00, 20.50, 20.80, 800
2022-05-18, 20.50, 21.00, 20.50, 20.70, 7700
2022-05-17, 20.80, 20.80, 20.50, 20.55, 3100
2022-05-16, 20.75, 21.00, 20.75, 20.80, 600
2022-05-13, 21.00, 21.00, 20.70, 20.75, 11300
2022-05-12, 20.50, 21.55, 20.50, 21.05, 4000
2022-05-11, 20.70, 20.70, 20.00, 20.25, 300
2022-05-09, 19.20, 20.50, 19.20, 19.25, 2000
2022-05-05, 19.20, 21.00, 19.20, 20.85, 1100
2022-05-04, 19.50, 21.10, 19.50, 19.65, 1100
2022-04-28, 21.00, 21.20, 21.00, 21.10, 1300
2022-04-26, 20.50, 21.40, 20.50, 21.20, 5100
2022-04-25, 20.50, 20.50, 20.50, 20.50, 500
2022-04-21, 21.00, 21.00, 21.00, 21.00, 300
2022-04-20, 21.00, 21.00, 21.00, 21.00, 100
2022-04-19, 20.00, 20.00, 19.50, 19.50, 3800
2022-04-14, 19.50, 19.50, 19.15, 19.35, 5300
2022-04-13, 20.30, 20.30, 19.00, 19.65, 600
2022-04-08, 18.60, 18.60, 18.60, 18.60, 3000
2022-04-07, 18.60, 18.60, 18.60, 18.60, 1000
2022-04-06, 18.60, 18.90, 18.60, 18.75, 200
2022-04-05, 18.50, 18.90, 18.50, 18.60, 23100
2022-04-01, 18.60, 18.60, 18.60, 18.60, 1500
2022-03-31, 19.00, 19.00, 18.60, 18.65, 1400
2022-03-30, 18.60, 18.60, 18.60, 18.60, 3000
2022-03-29, 18.50, 18.50, 18.50, 18.50, 200
2022-03-28, 18.20, 18.60, 18.20, 18.45, 1100
2022-03-25, 18.60, 18.60, 18.60, 18.60, 4900
2022-03-24, 19.05, 19.05, 18.30, 18.35, 1100
2022-03-23, 19.65, 20.00, 18.20, 19.05, 2200
2022-03-22, 18.50, 18.50, 17.90, 18.20, 200
2022-03-21, 17.90, 19.50, 17.90, 19.25, 1200
2022-03-18, 17.90, 17.90, 17.90, 17.90, 300
2022-03-17, 18.30, 19.70, 17.90, 18.45, 2200
2022-03-15, 19.70, 19.70, 19.70, 19.70, 400
2022-03-14, 19.00, 19.75, 19.00, 19.25, 2100
2022-03-11, 19.75, 19.75, 19.75, 19.75, 1900
2022-03-10, 18.25, 20.05, 18.00, 18.00, 72500
2022-03-09, 18.30, 18.30, 18.30, 18.30, 100
2022-03-08, 18.30, 18.30, 18.00, 18.25, 1400
2022-03-07, 18.30, 18.30, 18.30, 18.30, 600
2022-03-04, 18.30, 18.30, 18.00, 18.10, 47200
2022-03-03, 18.30, 18.30, 18.30, 18.30, 5100
2022-03-02, 19.00, 19.00, 18.30, 18.60, 500
2022-03-01, 19.00, 19.00, 19.00, 19.00, 16000
2022-02-28, 20.10, 20.10, 19.00, 20.05, 10500
2022-02-25, 20.10, 20.10, 20.00, 20.10, 12700
2022-02-24, 20.10, 21.00, 20.00, 20.05, 40200
2022-02-23, 22.10, 22.10, 20.00, 21.40, 600
2022-02-22, 21.90, 22.20, 20.10, 21.70, 6800
2022-02-21, 20.95, 22.30, 20.10, 20.20, 21100
2022-02-18, 20.95, 22.30, 20.95, 21.40, 300
2022-02-17, 21.50, 21.85, 21.00, 21.50, 1200
2022-02-16, 20.00, 22.30, 20.00, 20.95, 900
2022-02-15, 21.00, 21.00, 20.10, 20.85, 6300
2022-02-14, 20.10, 22.30, 20.10, 20.80, 700
2022-02-11, 22.30, 22.30, 22.30, 22.30, 300
2022-02-10, 21.00, 21.00, 20.10, 20.95, 10600
2022-02-09, 21.10, 21.10, 21.00, 21.00, 900
2022-02-08, 21.00, 22.50, 20.50, 21.10, 17700
2022-02-07, 21.00, 21.00, 21.00, 21.00, 2800
2022-02-04, 21.00, 21.00, 21.00, 21.00, 200
2022-02-03, 21.00, 21.00, 21.00, 21.00, 5200
2022-02-02, 21.00, 21.00, 21.00, 21.00, 100
2022-02-01, 21.00, 21.00, 21.00, 21.00, 200
2022-01-28, 21.00, 21.95, 21.00, 21.00, 10100
2022-01-27, 21.00, 21.50, 21.00, 21.10, 1300
2022-01-25, 21.85, 21.85, 20.00, 21.00, 6700
2022-01-24, 21.00, 21.85, 21.00, 21.10, 4300
2022-01-21, 21.50, 21.50, 20.05, 20.95, 1100
2022-01-20, 20.00, 21.50, 20.00, 20.35, 1000
2022-01-19, 20.25, 21.00, 20.00, 20.05, 7600
2022-01-18, 21.85, 21.85, 20.00, 20.55, 4800
2022-01-17, 21.05, 22.45, 21.05, 21.85, 5100
2022-01-14, 22.00, 22.30, 20.55, 21.05, 86100
2022-01-13, 22.20, 22.20, 22.20, 22.20, 1200
2022-01-12, 21.00, 22.50, 21.00, 22.20, 14600
2022-01-11, 20.55, 20.55, 20.55, 20.55, 1100
2022-01-10, 20.55, 20.55, 20.55, 20.55, 1600
2022-01-07, 21.00, 21.85, 21.00, 21.25, 1100
2022-01-06, 20.55, 21.00, 20.00, 20.25, 2600
2022-01-05, 18.70, 20.00, 18.70, 19.95, 2100
2021-12-30, 18.70, 18.70, 18.70, 18.70, 100
2021-12-29, 20.75, 20.75, 20.75, 20.75, 2000
2021-12-28, 21.90, 21.90, 21.90, 21.90, 100
2021-12-24, 21.95, 21.95, 21.50, 21.90, 23400
2021-12-23, 21.95, 21.95, 21.95, 21.95, 100
2021-12-22, 21.95, 21.95, 20.75, 21.85, 6000
2021-12-21, 21.95, 21.95, 21.95, 21.95, 3500
2021-12-17, 21.00, 21.00, 19.50, 20.30, 1400
2021-12-16, 20.60, 20.60, 20.50, 20.55, 200
2021-12-15, 21.00, 22.60, 20.00, 22.40, 5600
2021-12-14, 20.60, 21.80, 20.00, 20.60, 2500
2021-12-10, 20.60, 20.60, 20.60, 20.60, 3000
2021-12-09, 19.00, 19.00, 18.40, 18.85, 1300
2021-12-07, 18.30, 18.40, 18.30, 18.40, 2900
2021-12-06, 19.00, 19.00, 18.40, 18.40, 3900
2021-12-03, 19.00, 19.00, 19.00, 19.00, 2000
2021-12-02, 19.00, 19.00, 19.00, 19.00, 14800
2021-12-01, 19.00, 19.00, 18.30, 19.00, 54700
2021-11-29, 18.20, 18.20, 18.20, 18.20, 100
2021-11-26, 18.10, 18.10, 18.10, 18.10, 500
2021-11-22, 18.00, 18.00, 18.00, 18.00, 2200
2021-11-19, 19.00, 19.00, 18.00, 18.65, 300
2021-11-17, 18.00, 18.00, 18.00, 18.00, 2200
2021-11-16, 18.25, 18.25, 18.25, 18.25, 200
2021-11-15, 19.30, 19.30, 18.00, 18.25, 1100
2021-11-12, 18.00, 19.90, 18.00, 18.10, 2400
2021-11-11, 18.00, 19.30, 18.00, 18.45, 300
2021-11-10, 19.00, 19.00, 19.00, 19.00, 15300
2021-11-09, 19.90, 19.90, 19.00, 19.00, 11600
2021-11-08, 19.10, 20.00, 19.10, 19.90, 10000
2021-11-05, 20.00, 20.00, 19.50, 19.65, 700
2021-11-03, 20.00, 20.00, 20.00, 20.00, 100
2021-11-02, 19.75, 19.75, 19.00, 19.05, 2200
2021-11-01, 20.00, 20.00, 20.00, 20.00, 8200
2021-10-29, 20.00, 20.00, 19.00, 19.95, 8300
2021-10-28, 19.80, 20.00, 19.80, 20.00, 3100
2021-10-27, 19.80, 19.80, 19.00, 19.50, 500
2021-10-26, 19.00, 19.00, 19.00, 19.00, 1100
2021-10-25, 20.00, 20.45, 19.00, 19.80, 1600
2021-10-22, 21.00, 21.00, 21.00, 21.00, 2000
2021-10-21, 21.00, 21.00, 20.00, 20.25, 400
2021-10-19, 20.00, 21.50, 19.10, 21.50, 9924000
2021-10-18, 20.00, 20.00, 20.00, 20.00, 300
2021-10-15, 20.00, 20.00, 19.00, 19.05, 22300
2021-10-14, 20.00, 20.00, 19.00, 19.10, 7300
2021-10-13, 19.50, 19.50, 19.00, 19.15, 1100
2021-10-12, 20.00, 20.00, 19.00, 19.85, 1700
2021-10-08, 19.00, 19.00, 19.00, 19.00, 3100
2021-10-07, 19.10, 19.10, 19.10, 19.10, 1900
2021-10-06, 19.10, 19.10, 19.10, 19.10, 1100
2021-10-05, 19.95, 19.95, 19.95, 19.95, 600
2021-10-04, 20.00, 20.00, 18.60, 19.10, 1400
2021-10-01, 20.00, 20.20, 20.00, 20.00, 20300
2021-09-30, 20.00, 20.00, 20.00, 20.00, 31200
2021-09-29, 20.25, 20.25, 20.00, 20.05, 1700
2021-09-28, 20.25, 20.25, 20.00, 20.20, 13900
2021-09-27, 20.25, 20.25, 20.00, 20.25, 1100
2021-09-24, 21.20, 21.20, 20.00, 20.10, 1400
2021-09-23, 20.00, 20.00, 20.00, 20.00, 4200
2021-09-22, 19.90, 19.95, 19.90, 19.95, 8500
2021-09-21, 19.95, 19.95, 19.90, 19.90, 1000
2021-09-20, 20.70, 20.70, 19.60, 19.65, 20300
2021-09-17, 20.15, 20.15, 20.00, 20.15, 4200
2021-09-16, 20.70, 20.70, 20.15, 20.30, 400
2021-09-15, 21.25, 21.25, 20.30, 20.35, 46200
2021-09-14, 20.40, 21.40, 20.40, 20.75, 16900
2021-09-13, 20.30, 20.50, 20.30, 20.45, 3200
2021-09-10, 19.50, 20.30, 19.50, 20.15, 6000
2021-09-09, 19.50, 19.50, 19.50, 19.50, 400
2021-09-08, 19.00, 19.00, 18.70, 18.80, 300
2021-09-07, 18.70, 19.00, 18.70, 18.70, 11100
2021-09-06, 18.70, 18.70, 18.70, 18.70, 100
2021-09-03, 18.70, 18.70, 18.70, 18.70, 1000
2021-09-01, 18.50, 18.50, 18.50, 18.50, 1700
2021-08-31, 18.65, 19.00, 18.65, 18.70, 1300
2021-08-30, 19.95, 19.95, 19.00, 19.85, 1100
2021-08-27, 18.50, 19.00, 18.50, 18.65, 1800
2021-08-26, 19.00, 19.00, 19.00, 19.00, 1200
2021-08-25, 19.95, 20.00, 19.00, 19.85, 6900
2021-08-24, 20.00, 20.00, 20.00, 20.00, 1300
2021-08-23, 19.95, 19.95, 19.95, 19.95, 1000
2021-08-20, 20.00, 20.00, 20.00, 20.00, 1000
2021-08-19, 19.70, 19.70, 19.70, 19.70, 1000
2021-08-18, 19.00, 19.00, 19.00, 19.00, 200
2021-08-17, 19.00, 19.95, 19.00, 19.90, 1700
2021-08-16, 19.75, 19.95, 19.00, 19.70, 2400
2021-08-13, 20.00, 20.00, 19.00, 19.30, 2700
2021-08-12, 19.95, 20.00, 19.75, 19.95, 3500
2021-08-11, 19.90, 19.90, 19.50, 19.80, 400
2021-08-10, 19.90, 20.00, 19.90, 19.95, 3400
2021-08-09, 19.50, 19.50, 19.50, 19.50, 100
