Date, Open, High, Low, Close, Volume
2022-09-16, 26.80, 27.00, 26.40, 26.55, 13486400
2022-09-15, 27.90, 28.00, 26.60, 26.85, 19525801
2022-09-14, 28.95, 28.95, 27.85, 28.20, 4601200
2022-09-12, 29.00, 29.00, 28.40, 28.65, 13162200
2022-09-09, 29.95, 29.95, 28.80, 29.25, 3144600
2022-09-08, 30.00, 30.00, 29.70, 29.90, 3071200
2022-09-07, 30.90, 30.90, 29.50, 29.85, 4653700
2022-09-06, 30.60, 31.85, 30.15, 31.05, 7397300
2022-09-05, 28.00, 30.60, 28.00, 29.05, 4281700
2022-09-02, 28.00, 29.80, 27.95, 28.05, 7760900
2022-09-01, 28.50, 28.50, 27.75, 27.85, 14308900
2022-08-31, 28.50, 28.50, 27.50, 27.95, 12171700
2022-08-30, 29.00, 29.00, 28.10, 28.20, 5198300
2022-08-29, 28.05, 29.00, 28.00, 28.25, 1756700
2022-08-26, 28.45, 29.00, 28.00, 28.05, 4559100
2022-08-25, 29.00, 29.00, 28.00, 28.45, 1614000
2022-08-24, 29.50, 29.80, 28.05, 29.10, 3560300
2022-08-23, 29.85, 30.00, 29.15, 29.80, 2585600
2022-08-22, 31.30, 31.30, 29.80, 30.10, 3324700
2022-08-19, 31.10, 31.30, 30.70, 31.25, 6192400
2022-08-18, 31.00, 31.15, 30.50, 31.05, 1947200
2022-08-17, 31.00, 31.80, 30.90, 31.10, 7573100
2022-08-16, 31.10, 31.50, 31.00, 31.10, 2411300
2022-08-15, 31.00, 31.80, 30.90, 31.15, 5086300
2022-08-12, 31.95, 31.95, 30.85, 31.15, 1332600
2022-08-11, 31.50, 32.50, 31.10, 31.80, 2415600
2022-08-10, 30.50, 31.10, 30.00, 30.45, 2025600
2022-08-08, 30.50, 30.60, 29.95, 30.00, 12711700
2022-08-05, 30.40, 30.50, 30.00, 30.10, 1242900
2022-08-04, 29.75, 30.45, 29.60, 30.00, 4305000
2022-08-03, 29.60, 30.00, 29.55, 29.60, 6899200
2022-08-02, 29.95, 30.10, 29.50, 29.75, 8482600
2022-08-01, 29.00, 30.00, 28.80, 29.15, 3002100
2022-07-29, 30.40, 30.40, 29.50, 29.95, 1843600
